Customer ID,Date,Time,Haircut (Male),Haircut (Female),Beard Trimming,Eyebrow Threading,De tan,Deep Hydrating,Royal De tan,Upper Body Waxing,Lower Body Waxing,Manicure,Pedicure,Full Body Massage,Olive Hair Treatment,Marginal Cost (INR),Discount Type,Discount Amount (INR),Billed Cost (INR),Gender,Year,Month
300191,2022-04-10,1:41:23,1,0,0,1,0,0,0,0,0,0,0,0,0,223,No Discount,0.0,223.0,male,2022,4
300898,2022-04-10,4:07:25,0,0,1,0,1,0,0,0,0,0,0,0,0,298,Membership Card,29.8,268.2,male,2022,4
300745,2022-04-10,21:49:20,0,1,0,0,0,0,0,0,0,0,0,0,0,249,No Discount,0.0,249.0,female,2022,4
200714,2022-04-11,0:00:45,0,1,0,0,0,0,0,0,0,0,0,0,0,249,No Discount,0.0,249.0,female,2022,4
300095,2022-04-11,1:37:39,1,0,1,0,0,0,0,0,0,0,0,0,0,198,No Discount,0.0,198.0,male,2022,4
100486,2022-04-11,13:39:04,1,1,0,0,0,0,0,0,0,0,0,0,0,398,No Discount,0.0,398.0,couple,2022,4
200610,2022-04-11,14:11:04,0,1,0,0,0,0,0,0,0,0,0,0,0,249,No Discount,0.0,249.0,female,2022,4
200991,2022-04-11,19:37:31,0,0,1,0,0,0,0,0,0,0,0,0,0,49,No Discount,0.0,49.0,male,2022,4
300087,2022-04-12,2:11:20,0,0,2,0,0,0,0,0,0,0,0,0,0,98,No Discount,0.0,98.0,male,2022,4
200886,2022-04-12,3:11:03,0,0,2,0,0,0,0,0,0,0,0,0,0,98,No Discount,0.0,98.0,male,2022,4
200252,2022-04-12,11:32:07,1,0,0,0,0,0,0,0,1,0,0,0,0,1548,No Discount,0.0,1548.0,male,2022,4
100901,2022-04-12,13:34:00,0,1,0,0,0,0,0,0,0,0,0,0,0,249,No Discount,0.0,249.0,female,2022,4
200987,2022-04-13,10:39:13,0,0,0,2,0,0,0,0,0,0,0,0,0,148,No Discount,0.0,148.0,unknown,2022,4
100880,2022-04-13,18:00:43,0,1,0,1,0,0,0,0,0,0,0,0,0,323,No Discount,0.0,323.0,female,2022,4
200552,2022-04-14,5:17:07,1,0,0,0,0,0,0,0,0,0,0,0,1,398,No Discount,0.0,398.0,male,2022,4
100985,2022-04-14,12:25:53,0,1,0,0,0,0,0,0,0,0,0,0,0,249,No Discount,0.0,249.0,female,2022,4
