Customer ID,Services,ISP (INR),Marginal Cost (INR),Discount Type,Discount Amount (INR),Billed Cost (INR),Date,Time
300191,"Eyebrow Threading', 'Haircut (Male)'","74, 149",223,,0,223,2022-04-10,1:41:23
300898,"Beard Trimming', 'De-tan'","49, 249",298,Membership Card,29.8,268.2,2022-04-10,4:07:25
300745,Haircut (Female)',249,249,,0,249,2022-04-10,21:49:20
200714,Haircut (Female)',249,249,,0,249,2022-04-11,0:00:45
300095,"Beard Trimming', 'Haircut (Male)'","49, 149",198,,0,198,2022-04-11,1:37:39
100486,"Haircut (Male)', 'Haircut (Female)'","149, 249",398,,0,398,2022-04-11,13:39:04
200610,Haircut (Female)',249,249,,0,249,2022-04-11,14:11:04
200991,Beard Trimming',49,49,,0,49,2022-04-11,19:37:31
300087,"Beard Trimming', 'Beard Trimming'","49, 49",98,,0,98,2022-04-12,2:11:20
200886,"Beard Trimming', 'Beard Trimming'","49, 49",98,,0,98,2022-04-12,3:11:03
200252,"Haircut (Male)', 'Lower Body Waxing'","149, 1399",1548,,0,1548,2022-04-12,11:32:07
100901,Haircut (Female)',249,249,,0,249,2022-04-12,13:34:00
200987,"Eyebrow Threading', 'Eyebrow Threading'","74, 74",148,,0,148,2022-04-13,10:39:13
100880,"Eyebrow Threading', 'Haircut (Female)'","74, 249",323,,0,323,2022-04-13,18:00:43
200552,"Haircut (Male)', 'Olive Hair Treatment'","149, 249",398,,0,398,2022-04-14,5:17:07
100985,Haircut (Female)',249,249,,0,249,2022-04-14,12:25:53
100229,"Haircut (Male)', 'Beard Trimming'","149, 49",198,,0,198,2022-04-14,16:15:18
100409,Eyebrow Threading',74,74,,0,74,2022-04-14,18:30:37
100923,"Haircut (Female)', 'Royal De-tan'","249, 529",778,,0,778,2022-04-15,1:15:30
300530,Haircut (Female)',249,249,,0,249,2022-04-15,5:35:37
300524,Haircut (Female)',249,249,,0,249,2022-04-15,9:02:20
300027,Eyebrow Threading',74,74,,0,74,2022-04-15,11:00:19
100215,"Haircut (Female)', 'Olive Hair Treatment'","249, 249",498,,0,498,2022-04-15,14:32:29
100672,Haircut (Female)',249,249,,0,249,2022-04-15,16:44:30
300759,Beard Trimming',49,49,,0,49,2022-04-15,19:45:33
100481,Haircut (Female)',249,249,,0,249,2022-04-16,5:02:10
200552,Eyebrow Threading',74,74,,0,74,2022-04-16,6:09:05
100511,"Haircut (Male)', 'Eyebrow Threading'","149, 74",223,,0,223,2022-04-16,8:28:11
200207,Eyebrow Threading',74,74,,0,74,2022-04-16,12:34:09
100068,Haircut (Female)',249,249,,0,249,2022-04-16,13:38:32
200503,"Eyebrow Threading', 'Haircut (Male)'","74, 149",223,,0,223,2022-04-17,10:00:34
200676,Beard Trimming',49,49,,0,49,2022-04-17,11:57:35
300759,"Haircut (Male)', 'Beard Trimming'","149, 49",198,,0,198,2022-04-18,5:05:51
200380,"Haircut (Male)', 'Haircut (Male)'","149, 149",298,,0,298,2022-04-18,8:05:24
100655,Beard Trimming',49,49,,0,49,2022-04-18,8:11:05
100421,Haircut (Male)',149,149,,0,149,2022-04-18,13:14:32
300988,Beard Trimming',49,49,,0,49,2022-04-18,19:49:56
100215,Eyebrow Threading',74,74,,0,74,2022-04-18,22:16:12
200612,"Beard Trimming', 'Haircut (Male)'","49, 149",198,,0,198,2022-04-19,0:55:49
300361,"Haircut (Female)', 'Eyebrow Threading'","249, 74",323,,0,323,2022-04-19,7:56:06
200363,"Beard Trimming', 'Eyebrow Threading'","49, 74",123,,0,123,2022-04-19,18:10:51
300833,"Beard Trimming', 'Beard Trimming'","49, 49",98,,0,98,2022-04-19,22:54:09
100036,Eyebrow Threading',74,74,,0,74,2022-04-19,23:16:51
200867,"Haircut (Male)', 'Haircut (Male)'","149, 149",298,,0,298,2022-04-20,7:59:32
100359,"Beard Trimming', 'Manicure'","49, 239",288,,0,288,2022-04-20,13:00:42
300027,Beard Trimming',49,49,,0,49,2022-04-20,13:31:54
300365,Haircut (Male)',149,149,,0,149,2022-04-20,17:55:20
100423,"Haircut (Female)', 'Full Body Massage'","249, 1359",1608,,0,1608,2022-04-21,3:23:24
300953,Haircut (Female)',249,249,,0,249,2022-04-21,6:41:51
200270,"Haircut (Male)', 'Haircut (Female)'","149, 249",398,,0,398,2022-04-21,17:31:30
300641,Eyebrow Threading',74,74,,0,74,2022-04-21,21:23:36
300553,"Haircut (Female)', 'Deep Hydrating'","249, 649",898,,0,898,2022-04-21,22:25:39
100909,"Eyebrow Threading', 'Royal De-tan'","74, 529",603,,0,603,2022-04-21,23:49:11
300087,"Haircut (Female)', 'Royal De-tan'","249, 529",778,,0,778,2022-04-22,11:17:22
300549,"Eyebrow Threading', 'Haircut (Male)'","74, 149",223,,0,223,2022-04-22,23:38:21
300672,"Haircut (Female)', 'Beard Trimming'","249, 49",298,,0,298,2022-04-23,1:33:21
200006,"Haircut (Male)', 'Eyebrow Threading'","149, 74",223,,0,223,2022-04-23,1:58:10
300509,"Eyebrow Threading', 'Eyebrow Threading'","74, 74",148,Membership Card,14.8,133.2,2022-04-23,4:51:36
200547,"Haircut (Male)', 'Eyebrow Threading'","149, 74",223,,0,223,2022-04-23,4:54:57
100957,"Beard Trimming', 'Haircut (Male)'","49, 149",198,,0,198,2022-04-23,5:31:30
200748,Haircut (Female)',249,249,,0,249,2022-04-23,7:57:21
200759,"Haircut (Male)', 'Haircut (Female)'","149, 249",398,Membership Card,39.8,358.2,2022-04-23,23:42:56
200126,"Eyebrow Threading', 'Haircut (Male)'","74, 149",223,Membership Card,22.3,200.7,2022-04-24,4:17:07
300361,"Haircut (Male)', 'Haircut (Male)'","149, 149",298,,0,298,2022-04-24,13:39:40
200772,Haircut (Female)',249,249,,0,249,2022-04-25,2:30:32
300186,"Eyebrow Threading', 'Pedicure'","74, 249",323,,0,323,2022-04-25,6:40:31
300634,"Eyebrow Threading', 'Royal De-tan'","74, 529",603,,0,603,2022-04-25,6:42:19
100377,Haircut (Male)',149,149,,0,149,2022-04-25,7:01:03
200339,Eyebrow Threading',74,74,,0,74,2022-04-25,9:35:44
100246,"Eyebrow Threading', 'Haircut (Male)'","74, 149",223,,0,223,2022-04-25,10:06:28
100416,Haircut (Male)',149,149,,0,149,2022-04-25,14:09:44
200471,"Eyebrow Threading', 'Haircut (Male)'","74, 149",223,,0,223,2022-04-26,0:04:04
300529,"Beard Trimming', 'Haircut (Male)'","49, 149",198,Membership Card,19.8,178.2,2022-04-26,16:45:03
300361,"Haircut (Female)', 'Manicure'","249, 239",488,,0,488,2022-04-26,21:24:36
300006,"Haircut (Female)', 'Haircut (Male)'","249, 149",398,,0,398,2022-04-26,22:25:21
200598,Beard Trimming',49,49,,0,49,2022-04-27,2:16:00
100883,"Haircut (Female)', 'Full Body Massage'","249, 1359",1608,Membership Card,160.8,1447.2,2022-04-27,4:52:48
200857,"Haircut (Female)', 'Beard Trimming'","249, 49",298,,0,298,2022-04-27,19:24:28
100176,Haircut (Female)',249,249,,0,249,2022-04-27,21:38:28
300151,Eyebrow Threading',74,74,,0,74,2022-04-28,2:31:01
200171,"Haircut (Female)', 'Deep Hydrating'","249, 649",898,,0,898,2022-04-28,3:26:02
100824,"Eyebrow Threading', 'Haircut (Male)'","74, 149",223,,0,223,2022-04-28,7:15:18
300742,Haircut (Female)',249,249,,0,249,2022-04-28,16:04:22
300101,"Haircut (Male)', 'Haircut (Female)'","149, 249",398,,0,398,2022-04-28,23:29:07
300135,Haircut (Female)',249,249,,0,249,2022-04-29,4:36:46
200615,"Beard Trimming', 'Beard Trimming'","49, 49",98,,0,98,2022-04-29,10:14:28
300009,"Eyebrow Threading', 'Haircut (Female)'","74, 249",323,Membership Card,32.3,290.7,2022-04-29,13:48:23
100126,"Haircut (Male)', 'Eyebrow Threading'","149, 74",223,,0,223,2022-04-29,22:34:54
100996,Haircut (Female)',249,249,,0,249,2022-04-30,17:53:09
100875,Eyebrow Threading',74,74,,0,74,2022-04-30,18:19:47
100834,"Haircut (Male)', 'Deep Hydrating'","149, 649",798,,0,798,2022-04-30,19:44:08
300529,"Haircut (Female)', 'Eyebrow Threading'","249, 74",323,Membership Card,32.3,290.7,2022-05-01,2:06:31
200599,Haircut (Female)',249,249,,0,249,2022-05-01,7:08:14
300439,Eyebrow Threading',74,74,,0,74,2022-05-01,7:20:49
200126,"Haircut (Female)', 'Haircut (Female)'","249, 249",498,Membership Card,49.8,448.2,2022-05-01,11:23:45
200295,"Haircut (Female)', 'Haircut (Male)'","249, 149",398,,0,398,2022-05-01,18:05:30
200945,"Beard Trimming', 'Beard Trimming'","49, 49",98,,0,98,2022-05-01,18:54:18
100419,Haircut (Female)',249,249,Membership Card,24.9,224.1,2022-05-02,0:10:39
200316,"Eyebrow Threading', 'Haircut (Female)'","74, 249",323,,0,323,2022-05-02,4:22:13
200011,"Eyebrow Threading', 'Haircut (Female)'","74, 249",323,,0,323,2022-05-02,5:52:06
100229,"Beard Trimming', 'Eyebrow Threading'","49, 74",123,,0,123,2022-05-02,7:48:38
300051,"Haircut (Male)', 'Eyebrow Threading'","149, 74",223,,0,223,2022-05-02,17:39:22
300519,"Beard Trimming', 'Eyebrow Threading'","49, 74",123,,0,123,2022-05-02,18:12:01
300526,Haircut (Male)',149,149,,0,149,2022-05-02,18:43:46
100655,"Eyebrow Threading', 'Beard Trimming'","74, 49",123,,0,123,2022-05-03,2:23:09
100399,"Beard Trimming', 'Manicure'","49, 239",288,,0,288,2022-05-03,10:24:26
100511,"Haircut (Female)', 'Haircut (Male)'","249, 149",398,,0,398,2022-05-03,13:29:12
100236,"Beard Trimming', 'Eyebrow Threading'","49, 74",123,,0,123,2022-05-04,0:45:19
200732,"Eyebrow Threading', 'Haircut (Female)'","74, 249",323,,0,323,2022-05-04,6:30:07
100486,Beard Trimming',49,49,,0,49,2022-05-04,16:22:42
100194,"Haircut (Female)', 'Haircut (Male)'","249, 149",398,,0,398,2022-05-04,16:39:43
300061,Haircut (Female)',249,249,,0,249,2022-05-04,18:44:33
100403,Haircut (Female)',249,249,Membership Card,24.9,224.1,2022-05-04,18:52:23
200718,Beard Trimming',49,49,,0,49,2022-05-04,19:31:18
100929,Eyebrow Threading',74,74,,0,74,2022-05-04,21:12:57
100221,Haircut (Female)',249,249,,0,249,2022-05-04,22:53:52
300897,"Haircut (Male)', 'Haircut (Male)'","149, 149",298,,0,298,2022-05-04,23:38:32
100103,Beard Trimming',49,49,,0,49,2022-05-05,7:13:37
100371,Beard Trimming',49,49,,0,49,2022-05-05,15:19:26
100697,Eyebrow Threading',74,74,,0,74,2022-05-05,22:11:10
200733,Haircut (Male)',149,149,Membership Card,14.9,134.1,2022-05-06,3:48:30
300759,Haircut (Male)',149,149,,0,149,2022-05-06,6:25:09
300982,Beard Trimming',49,49,,0,49,2022-05-06,12:37:45
300317,"Eyebrow Threading', 'Haircut (Female)'","74, 249",323,,0,323,2022-05-06,13:50:10
100917,"Haircut (Male)', 'Haircut (Male)'","149, 149",298,,0,298,2022-05-06,21:08:02
200076,Eyebrow Threading',74,74,Membership Card,7.4,66.6,2022-05-06,22:14:57
200527,Beard Trimming',49,49,,0,49,2022-05-07,6:08:28
200748,"Haircut (Male)', 'Beard Trimming'","149, 49",198,,0,198,2022-05-07,6:44:16
200361,Haircut (Male)',149,149,Membership Card,14.9,134.1,2022-05-07,11:40:32
300439,"Haircut (Male)', 'Eyebrow Threading'","149, 74",223,,0,223,2022-05-07,13:40:59
